GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US410670324062,410670324062,"Block Group 2, Census Tract 324.06, Washington County, Oregon",123385,13805
1500000US410670324063,410670324063,"Block Group 3, Census Tract 324.06, Washington County, Oregon",47813,18542
1500000US410670324064,410670324064,"Block Group 4, Census Tract 324.06, Washington County, Oregon",96813,19483
1500000US410670324065,410670324065,"Block Group 5, Census Tract 324.06, Washington County, Oregon",61489,16927
1500000US410670324071,410670324071,"Block Group 1, Census Tract 324.07, Washington County, Oregon",81473,21999
1500000US410670324072,410670324072,"Block Group 2, Census Tract 324.07, Washington County, Oregon",101647,6461
1500000US410670324081,410670324081,"Block Group 1, Census Tract 324.08, Washington County, Oregon",94464,29784
1500000US410670324082,410670324082,"Block Group 2, Census Tract 324.08, Washington County, Oregon",135325,6892
1500000US410670324091,410670324091,"Block Group 1, Census Tract 324.09, Washington County, Oregon",29844,11709
1500000US410670324092,410670324092,"Block Group 2, Census Tract 324.09, Washington County, Oregon",32731,13672
1500000US410670324101,410670324101,"Block Group 1, Census Tract 324.10, Washington County, Oregon",75642,5268
1500000US410670324102,410670324102,"Block Group 2, Census Tract 324.10, Washington County, Oregon",59500,23630
1500000US410670324103,410670324103,"Block Group 3, Census Tract 324.10, Washington County, Oregon",-,**
1500000US410670325011,410670325011,"Block Group 1, Census Tract 325.01, Washington County, Oregon",36528,16494
1500000US410670325012,410670325012,"Block Group 2, Census Tract 325.01, Washington County, Oregon",40185,8236
1500000US410670325021,410670325021,"Block Group 1, Census Tract 325.02, Washington County, Oregon",79583,10219
1500000US410670325031,410670325031,"Block Group 1, Census Tract 325.03, Washington County, Oregon",89216,7995
1500000US410670325032,410670325032,"Block Group 2, Census Tract 325.03, Washington County, Oregon",44875,11078
1500000US410670326031,410670326031,"Block Group 1, Census Tract 326.03, Washington County, Oregon",83931,5799
1500000US410670326032,410670326032,"Block Group 2, Census Tract 326.03, Washington County, Oregon",136563,34996
1500000US410670326033,410670326033,"Block Group 3, Census Tract 326.03, Washington County, Oregon",66815,22351
1500000US410670326034,410670326034,"Block Group 4, Census Tract 326.03, Washington County, Oregon",101750,29375
1500000US410670326041,410670326041,"Block Group 1, Census Tract 326.04, Washington County, Oregon",59375,13384
1500000US410670326042,410670326042,"Block Group 2, Census Tract 326.04, Washington County, Oregon",64607,16700
1500000US410670326043,410670326043,"Block Group 3, Census Tract 326.04, Washington County, Oregon",-,**
1500000US410670326044,410670326044,"Block Group 4, Census Tract 326.04, Washington County, Oregon",36791,18917
1500000US410670326045,410670326045,"Block Group 5, Census Tract 326.04, Washington County, Oregon",80938,30466
1500000US410670326061,410670326061,"Block Group 1, Census Tract 326.06, Washington County, Oregon",78224,19050
1500000US410670326062,410670326062,"Block Group 2, Census Tract 326.06, Washington County, Oregon",59901,6907
1500000US410670326063,410670326063,"Block Group 3, Census Tract 326.06, Washington County, Oregon",81833,10546
1500000US410670326064,410670326064,"Block Group 4, Census Tract 326.06, Washington County, Oregon",72621,44873
1500000US410670326065,410670326065,"Block Group 5, Census Tract 326.06, Washington County, Oregon",77905,20948
1500000US410670326071,410670326071,"Block Group 1, Census Tract 326.07, Washington County, Oregon",89677,7262
1500000US410670326081,410670326081,"Block Group 1, Census Tract 326.08, Washington County, Oregon",87500,8884
1500000US410670326091,410670326091,"Block Group 1, Census Tract 326.09, Washington County, Oregon",92348,7094
1500000US410670326101,410670326101,"Block Group 1, Census Tract 326.10, Washington County, Oregon",98295,10684
1500000US410670326102,410670326102,"Block Group 2, Census Tract 326.10, Washington County, Oregon",73750,7249
1500000US410670327001,410670327001,"Block Group 1, Census Tract 327, Washington County, Oregon",69659,26620
1500000US410670327002,410670327002,"Block Group 2, Census Tract 327, Washington County, Oregon",76944,8782
1500000US410670327003,410670327003,"Block Group 3, Census Tract 327, Washington County, Oregon",77829,16715
1500000US410670328001,410670328001,"Block Group 1, Census Tract 328, Washington County, Oregon",67045,23481
1500000US410670329011,410670329011,"Block Group 1, Census Tract 329.01, Washington County, Oregon",85536,16634
1500000US410670329012,410670329012,"Block Group 2, Census Tract 329.01, Washington County, Oregon",42964,10083
1500000US410670329021,410670329021,"Block Group 1, Census Tract 329.02, Washington County, Oregon",58987,9563
1500000US410670329022,410670329022,"Block Group 2, Census Tract 329.02, Washington County, Oregon",45163,13440
1500000US410670329023,410670329023,"Block Group 3, Census Tract 329.02, Washington County, Oregon",71774,26339
1500000US410670329024,410670329024,"Block Group 4, Census Tract 329.02, Washington County, Oregon",66406,9005
